Outcome,Vaccine Status,Age,Prior Infection,Month0.5,Month1,Month2,Month3,Month4,Month5,Month6,Month7,Month8,Month9,Month10,Month11,Month12,Month13,Month14,Month15,Month16,References
Nonsevere Outcomes,Unvaccinated,18-49 years,Yes,,,,4.347826087,4.149377593,3.984063745,3.984063745,4.081632653,3.984063745,4.237288136,4.524886878,4.739336493,5.235602094,5.649717514,6.451612903,7.299270073,8.130081301,"Bobrovitz et al (Lancet, 2023), Andeweg et al (Nature Comms, 2022)"
Nonsevere Outcomes,Unvaccinated,18-49 years,Yes,,,,11.24,11.90,10.00,10.10,12.66,9.09,5.65,4.90,4.72,4.72,4.50,,,,"COVID Forecasting Team (Lancet, 2023), Andeweg et al (Nature Comms, 2022)"
Nonsevere Outcomes,Unvaccinated,18-49 years,No,,,,,,,,,,,,,,,,,,
Nonsevere Outcomes,Unvaccinated,50-64 years,Yes,,,,4.347826087,4.149377593,3.984063745,3.984063745,4.081632653,3.984063745,4.237288136,4.524886878,4.739336493,5.235602094,5.649717514,6.451612903,7.299270073,8.130081301,"Bobrovitz et al (Lancet, 2023), Andeweg et al (Nature Comms, 2022)"
Nonsevere Outcomes,Unvaccinated,50-64 years,Yes,,,,11.24,11.90,10.00,10.10,12.66,9.09,5.65,4.90,4.72,4.72,4.50,,,,"COVID Forecasting Team (Lancet, 2023), Andeweg et al (Nature Comms, 2022)"
Nonsevere Outcomes,Unvaccinated,50-64 years,No,,,,,,,,,,,,,,,,,,
Nonsevere Outcomes,Unvaccinated,65+ years,Yes,,,,4.347826087,4.149377593,3.984063745,3.984063745,4.081632653,3.984063745,4.237288136,4.524886878,4.739336493,5.235602094,5.649717514,6.451612903,7.299270073,8.130081301,"Bobrovitz et al (Lancet, 2023), Andeweg et al (Nature Comms, 2022)"
Nonsevere Outcomes,Unvaccinated,65+ years,Yes,,,,11.24,11.90,10.00,10.10,12.66,9.09,5.65,4.90,4.72,4.72,4.50,,,,"COVID Forecasting Team (Lancet, 2023), Andeweg et al (Nature Comms, 2022)"
Nonsevere Outcomes,Unvaccinated,65+ years,No,,,,,,,,,,,,,,,,,,
Nonsevere Outcomes,2-dose,18-49 years,Yes,6.41,5.95,5.65,5.38,5.13,5.08,4.83,4.74,4.57,4.61,4.59,4.63,4.69,,,,,"Bobrovitz et al (Lancet, 2023), Andeweg et al (Nature Comms, 2022)"
Nonsevere Outcomes,2-dose,18-49 years,No,6.37,5.95,6.62,6.45,6.67,8.62,10.99,13.89,14.29,,,,,,,,,"Bobrovitz et al (Lancet, 2023), Andeweg et al (Nature Comms, 2022)"
Nonsevere Outcomes,2-dose,50-64 years,Yes,6.41,5.95,5.65,5.38,5.13,5.08,4.83,4.74,4.57,4.61,4.59,4.63,4.69,,,,,"Bobrovitz et al (Lancet, 2023), Andeweg et al (Nature Comms, 2022)"
Nonsevere Outcomes,2-dose,50-64 years,No,6.37,5.95,6.62,6.45,6.67,8.62,10.99,13.89,14.29,,,,,,,,,"Bobrovitz et al (Lancet, 2023), Andeweg et al (Nature Comms, 2022)"
Nonsevere Outcomes,2-dose,65+ years,Yes,6.41,5.95,5.65,5.38,5.13,5.08,4.83,4.74,4.57,4.61,4.59,4.63,4.69,,,,,"Bobrovitz et al (Lancet, 2023), Andeweg et al (Nature Comms, 2022)"
Nonsevere Outcomes,2-dose,65+ years,No,6.37,5.95,6.62,6.45,6.67,8.62,10.99,13.89,14.29,,,,,,,,,"Bobrovitz et al (Lancet, 2023), Andeweg et al (Nature Comms, 2022)"
Nonsevere Outcomes,3-dose,18-49 years,Yes,8.55,7.41,6.29,5.52,5.03,4.81,4.69,,,,,,,,,,,"Bobrovitz et al (Lancet, 2023), Andeweg et al (Nature Comms, 2022)"
Nonsevere Outcomes,3-dose,18-49 years,No,5.85,5.49,5.21,5.29,5.46,6.25,7.04,8.13,9.35,,,,,,,,,"Bobrovitz et al (Lancet, 2023), Andeweg et al (Nature Comms, 2022)"
Nonsevere Outcomes,3-dose,50-64 years,Yes,8.55,7.41,6.29,5.52,5.03,4.81,4.69,,,,,,,,,,,"Bobrovitz et al (Lancet, 2023), Andeweg et al (Nature Comms, 2022)"
Nonsevere Outcomes,3-dose,50-64 years,No,5.85,5.49,5.21,5.29,5.46,6.25,7.04,8.13,9.35,,,,,,,,,"Bobrovitz et al (Lancet, 2023), Andeweg et al (Nature Comms, 2022)"
Nonsevere Outcomes,3-dose,65+ years,Yes,8.55,7.41,6.29,5.52,5.03,4.81,4.69,,,,,,,,,,,"Bobrovitz et al (Lancet, 2023), Andeweg et al (Nature Comms, 2022)"
Nonsevere Outcomes,3-dose,65+ years,No,5.85,5.49,5.21,5.29,5.46,6.25,7.04,8.13,9.35,,,,,,,,,"Bobrovitz et al (Lancet, 2023), Andeweg et al (Nature Comms, 2022)"
