Outcome,Vaccine Status,Age,Prior Infection,95UI,Month0.5,Month1,Month2,Month3,Month4,Month5,Month6,Month7,Month8,Month9,Month10,Month11,Month12,Month13,Month14,Month15,Month16,References
Nonsevere Outcomes,Unvaccinated,18-49 years,Yes,upper,,,,71.75537634,67.95537634,63.95537634,59.55537634,54.85537634,50.75537634,45.45537634,40.45537634,35.95537634,31.35537634,27.05537634,23.25537634,19.55537634,16.25537634,"Bobrovitz et al (Lancet, 2023)"
Nonsevere Outcomes,Unvaccinated,18-49 years,Yes,upper,,,,54.45537634,52.55537634,51.75537634,47.35537634,40.95537634,38.45537634,38.05537634,38.05537634,37.85537634,37.75537634,37.75537634,,,,"COVID Forecasting Team (Lancet, 2023)"
Nonsevere Outcomes,Unvaccinated,18-49 years,Yes,lower,,,,48.76,43.86,38.86,34.46,30.36,25.66,21.86,18.36,14.86,12.26,9.56,7.46,5.66,4.26,"Bobrovitz et al (Lancet, 2023)"
Nonsevere Outcomes,Unvaccinated,18-49 years,Yes,lower,,,,45.56,44.16,41.76,37.46,33.06,27.46,20.36,17.66,16.66,16.56,15.56,,,,"COVID Forecasting Team (Lancet, 2023)"
Nonsevere Outcomes,Unvaccinated,18-49 years,Yes,mean,,,,61.06,56.56,51.96,47.06,42.36,37.36,32.86,28.16,24.46,20.56,17.26,14.26,11.26,9.46,"Bobrovitz et al (Lancet, 2023)"
Nonsevere Outcomes,Unvaccinated,18-49 years,Yes,mean,,,,48.95537634,48.85537634,48.75537634,44.85537634,36.85537634,32.95537634,32.85537634,32.85537634,32.85537634,32.85537634,32.85537634,,,,"COVID Forecasting Team (Lancet, 2023)"
Nonsevere Outcomes,Unvaccinated,50-64 years,Yes,upper,,,,75.9,72.1,68.1,63.7,59,54.9,49.6,44.6,40.1,35.5,31.2,27.4,23.7,20.4,"Bobrovitz et al (Lancet, 2023)"
Nonsevere Outcomes,Unvaccinated,50-64 years,Yes,upper,,,,58.6,56.7,55.9,51.5,45.1,42.6,42.2,42.2,42,41.9,41.9,,,,"COVID Forecasting Team (Lancet, 2023)"
Nonsevere Outcomes,Unvaccinated,50-64 years,Yes,lower,,,,52.90,48.00,43.00,38.60,34.50,29.80,26.00,22.50,19.00,16.40,13.70,11.60,9.80,8.40,"Bobrovitz et al (Lancet, 2023)"
Nonsevere Outcomes,Unvaccinated,50-64 years,Yes,lower,,,,49.70,48.30,45.90,41.60,37.20,31.60,24.50,21.80,20.80,20.70,19.70,,,,"COVID Forecasting Team (Lancet, 2023)"
Nonsevere Outcomes,Unvaccinated,50-64 years,Yes,mean,,,,65.2,60.7,56.1,51.2,46.5,41.5,37,32.3,28.6,24.7,21.4,18.4,15.4,13.6,"Bobrovitz et al (Lancet, 2023)"
Nonsevere Outcomes,Unvaccinated,50-64 years,Yes,mean,,,,53.1,53,52.9,49,41,37.1,37,37,37,37,37,,,,"COVID Forecasting Team (Lancet, 2023)"
Nonsevere Outcomes,Unvaccinated,65+ years,Yes,upper,,,,86.56666667,82.76666667,78.76666667,74.36666667,69.66666667,65.56666667,60.26666667,55.26666667,50.76666667,46.16666667,41.86666667,38.06666667,34.36666667,31.06666667,"Bobrovitz et al (Lancet, 2023)"
Nonsevere Outcomes,Unvaccinated,65+ years,Yes,upper,,,,69.26666667,67.36666667,66.56666667,62.16666667,55.76666667,53.26666667,52.86666667,52.86666667,52.66666667,52.56666667,52.56666667,,,,"COVID Forecasting Team (Lancet, 2023)"
Nonsevere Outcomes,Unvaccinated,65+ years,Yes,lower,,,,63.57,58.67,53.67,49.27,45.17,40.47,36.67,33.17,29.67,27.07,24.37,22.27,20.47,19.07,"Bobrovitz et al (Lancet, 2023)"
Nonsevere Outcomes,Unvaccinated,65+ years,Yes,lower,,,,60.37,58.97,56.57,52.27,47.87,42.27,35.17,32.47,31.47,31.37,30.37,,,,"COVID Forecasting Team (Lancet, 2023)"
Nonsevere Outcomes,Unvaccinated,65+ years,Yes,mean,,,,75.86666667,71.36666667,66.76666667,61.86666667,57.16666667,52.16666667,47.66666667,42.96666667,39.26666667,35.36666667,32.06666667,29.06666667,26.06666667,24.26666667,"Bobrovitz et al (Lancet, 2023)"
Nonsevere Outcomes,Unvaccinated,65+ years,Yes,mean,,,,63.76666667,63.66666667,63.56666667,59.66666667,51.66666667,47.76666667,47.66666667,47.66666667,47.66666667,47.66666667,47.66666667,,,,"COVID Forecasting Team (Lancet, 2023)"
