Outcome,Vaccine Status,Age,Prior Infection,Month0.5,Month1,Month2,Month3,Month4,Month5,Month6,Month7,Month8,Month9,Month10,Month11,Month12,Month13,Month14,Month15,Month16,References
Severe Outcomes,Unvaccinated,18-49 years,Yes,,,,82.54,81.6,80.65,79.87,79.08,78.14,77.52,76.41,75.63,74.68,73.72,72.87,71.6,70.74,"Bobrovitz et al (Lancet, 2023)"
Severe Outcomes,Unvaccinated,18-49 years,Yes,,,,88.9,88.9,88.9,88.9,88.9,88.9,88.9,88.6,87.1,84.5,81.4,,,,"COVID Forecasting Team (Lancet, 2023)"
Severe Outcomes,Unvaccinated,18-49 years,Yes,,,,90,93,93,84,84,84,,,,,,,,,"Carazo et al (Lancet Healthy Longevity, 2023)"
Severe Outcomes,Unvaccinated,18-49 years,No,,,,,,,,,,,,,,,,,,
Severe Outcomes,Unvaccinated,50-64 years,Yes,,,,82.54,81.6,80.65,79.87,79.08,78.14,77.52,76.41,75.63,74.68,73.72,72.87,71.6,70.74,"Bobrovitz et al (Lancet, 2023)"
Severe Outcomes,Unvaccinated,50-64 years,Yes,,,,88.9,88.9,88.9,88.9,88.9,88.9,88.9,88.6,87.1,84.5,81.4,,,,"COVID Forecasting Team (Lancet, 2023)"
Severe Outcomes,Unvaccinated,50-64 years,Yes,,,,90,93,93,84,84,84,,,,,,,,,"Carazo et al (Lancet Healthy Longevity, 2023)"
Severe Outcomes,Unvaccinated,50-64 years,No,,,,,,,,,,,,,,,,,,
Severe Outcomes,Unvaccinated,65+ years,Yes,,,,82.54,81.6,80.65,79.87,79.08,78.14,77.52,76.41,75.63,74.68,73.72,72.87,71.6,70.74,"Bobrovitz et al (Lancet, 2023)"
Severe Outcomes,Unvaccinated,65+ years,Yes,,,,88.9,88.9,88.9,88.9,88.9,88.9,88.9,88.6,87.1,84.5,81.4,,,,"COVID Forecasting Team (Lancet, 2023)"
Severe Outcomes,Unvaccinated,65+ years,Yes,,,,90,93,93,84,84,84,,,,,,,,,"Carazo et al (Lancet Healthy Longevity, 2023)"
Severe Outcomes,Unvaccinated,65+ years,No,,,,,,,,,,,,,,,,,,
Severe Outcomes,2-dose,18-49 years,Yes,95.7,95.7,95.9,96,96.2,96.3,96.5,96.7,96.8,97,97.1,97.2,97.4,,,,,"Bobrovitz et al (Lancet, 2023)"
Severe Outcomes,2-dose,18-49 years,Yes,93,93,93,93,91.5,91.5,91,91,91,85,85,85,,,,,,"Carazo et al (Lancet Healthy Longevity, 2023)"
Severe Outcomes,2-dose,18-49 years,No,74.62,73.12,71.61,69.74,67.86,66.35,64.85,62.97,61.09,,,,,,,,,"Bobrovitz et al (Lancet, 2023)"
Severe Outcomes,2-dose,18-49 years,No,64,64,64,56,56,46,46,38,38,49,49,29,29,29,,,,"Ferdinands et al (BMJ, 2022)"
Severe Outcomes,2-dose,50-64 years,Yes,95.7,95.7,95.9,96,96.2,96.3,96.5,96.7,96.8,97,97.1,97.2,97.4,,,,,"Bobrovitz et al (Lancet, 2023)"
Severe Outcomes,2-dose,50-64 years,Yes,93,93,93,93,91.5,91.5,91,91,91,85,85,85,,,,,,"Carazo et al (Lancet Healthy Longevity, 2023)"
Severe Outcomes,2-dose,50-64 years,No,74.62,73.12,71.61,69.74,67.86,66.35,64.85,62.97,61.09,,,,,,,,,"Bobrovitz et al (Lancet, 2023)"
Severe Outcomes,2-dose,50-64 years,No,75,75,75,54,54,65,65,57,57,58,58,36,36,32,,,,"Ferdinands et al (BMJ, 2022)"
Severe Outcomes,2-dose,65+ years,Yes,95.7,95.7,95.9,96,96.2,96.3,96.5,96.7,96.8,97,97.1,97.2,97.4,,,,,"Bobrovitz et al (Lancet, 2023)"
Severe Outcomes,2-dose,65+ years,Yes,93,93,93,93,91.5,91.5,91,91,91,85,85,85,,,,,,"Carazo et al (Lancet Healthy Longevity, 2023)"
Severe Outcomes,2-dose,65+ years,No,74.62,73.12,71.61,69.74,67.86,66.35,64.85,62.97,61.09,,,,,,,,,"Bobrovitz et al (Lancet, 2023)"
Severe Outcomes,2-dose,65+ years,No,77,77,77,68,68,53,53,47,47,46,46,59,59,45,,,,"Ferdinands et al (BMJ, 2022)"
Severe Outcomes,3-dose,18-49 years,Yes,98,97.6,97.2,96.7,96.09,95.55,95.3,,,,,,,,,,,"Bobrovitz et al (Lancet, 2023)"
Severe Outcomes,3-dose,18-49 years,Yes,93,93,93,93,91.5,91.5,91,91,91,85,85,85,,,,,,"Carazo et al (Lancet Healthy Longevity, 2023)"
Severe Outcomes,3-dose,18-49 years,No,90.7,89.2,87.2,84.9,82.6,79.3,76.5,72.9,69.7,,,,,,,,,"Bobrovitz et al (Lancet, 2023)"
Severe Outcomes,3-dose,18-49 years,No,85,85,85,77,77,33,33,33,33,,,,,,,,,"Ferdinands et al (BMJ, 2022)"
Severe Outcomes,3-dose,50-64 years,Yes,98,97.6,97.2,96.7,96.09,95.55,95.3,,,,,,,,,,,"Bobrovitz et al (Lancet, 2023)"
Severe Outcomes,3-dose,50-64 years,Yes,93,93,93,93,91.5,91.5,91,91,91,85,85,85,,,,,,"Carazo et al (Lancet Healthy Longevity, 2023)"
Severe Outcomes,3-dose,50-64 years,No,90.7,89.2,87.2,84.9,82.6,79.3,76.5,72.9,69.7,,,,,,,,,"Bobrovitz et al (Lancet, 2023)"
Severe Outcomes,3-dose,50-64 years,No,89,89,89,83,83,58,58,48,48,48,48,,,,,,,"Ferdinands et al (BMJ, 2022)"
Severe Outcomes,3-dose,65+ years,Yes,98,97.6,97.2,96.7,96.09,95.55,95.3,,,,,,,,,,,"Bobrovitz et al (Lancet, 2023)"
Severe Outcomes,3-dose,65+ years,Yes,93,93,93,93,91.5,91.5,91,91,91,85,85,85,,,,,,"Carazo et al (Lancet Healthy Longevity, 2023)"
Severe Outcomes,3-dose,65+ years,No,90.7,89.2,87.2,84.9,82.6,79.3,76.5,72.9,69.7,,,,,,,,,"Bobrovitz et al (Lancet, 2023)"
Severe Outcomes,3-dose,65+ years,No,89,89,89,87,87,70,70,52,52,45,45,,,,,,,"Ferdinands et al (BMJ, 2022)"
